tweet_id,created_at,user,text,hashtags,user_mentions,in_reply_to_screen_name,retweeted_status,is_quote_status,retweet_count,favorite_count,quote_count,reply_count
1235446291997442050,Thu Mar 05 06:05:24 +0000 2020,Caden4224,"RT @chrisespinosa11: it was iconic duo day at work so you know we had to do it 😂😂 #AstrosCheated
@Shelton_N8 https://t.co/H9WidIopHg",['AstrosCheated'],"['chrisespinosa11', 'Shelton_N8']",,False,False,7,0,0,0
1235441626568220673,Thu Mar 05 05:46:51 +0000 2020,shelton_court,"RT @chrisespinosa11: it was iconic duo day at work so you know we had to do it 😂😂 #AstrosCheated
@Shelton_N8 https://t.co/H9WidIopHg",['AstrosCheated'],"['chrisespinosa11', 'Shelton_N8']",,False,False,7,0,0,0
1235435699223945217,Thu Mar 05 05:23:18 +0000 2020,waterfield7LA,@thedodgerdude @JFDL #AstrosCheated #TaintedTitle #Bangbang #Algorithm,"['AstrosCheated', 'TaintedTitle', 'Bangbang', 'Algorithm']","['thedodgerdude', 'JFDL']",thedodgerdude,False,False,0,1,0,0
1235429261101502465,Thu Mar 05 04:57:43 +0000 2020,waterfield7LA,@AsteriskTour @jfdl #AstrosCheated,['AstrosCheated'],"['AsteriskTour', 'JFDL']",AsteriskTour,False,False,0,0,0,0
1235427448658857984,Thu Mar 05 04:50:31 +0000 2020,waterfield7LA,@JFDL @Stros_B4_Hoes_ @EWOKinLA No 1 in attendance yet again. Your fanbase is weak and so many are trashy...like yo… https://t.co/JfYL6Acio1,[],"['JFDL', 'Stros_B4_Hoes_', 'EWOKinLA']",JFDL,False,False,0,1,0,0
1235419693793435648,Thu Mar 05 04:19:42 +0000 2020,Reyes_MHS,"RT @chrisespinosa11: it was iconic duo day at work so you know we had to do it 😂😂 #AstrosCheated
@Shelton_N8 https://t.co/H9WidIopHg",['AstrosCheated'],"['chrisespinosa11', 'Shelton_N8']",,False,False,7,0,0,0
1235417556157992961,Thu Mar 05 04:11:12 +0000 2020,waterfield7LA,@JFDL @Stros_B4_Hoes_ @EWOKinLA Look at this weak ass support. This is your total attendance from 1980-2006. Trash.… https://t.co/7Fl7VTW1LF,[],"['JFDL', 'Stros_B4_Hoes_', 'EWOKinLA']",waterfield7LA,False,False,0,1,0,0
1235417410007494658,Thu Mar 05 04:10:38 +0000 2020,chrisespinosa11,"it was iconic duo day at work so you know we had to do it 😂😂 #AstrosCheated
@Shelton_N8 https://t.co/H9WidIopHg",['AstrosCheated'],['Shelton_N8'],,False,False,7,24,0,0
1235416032564527105,Thu Mar 05 04:05:09 +0000 2020,waterfield7LA,"@JFDL @Stros_B4_Hoes_ @EWOKinLA Remember, I followed you first. #AstrosCheated #TaintedTitle #Bangbang #Algorithm","['AstrosCheated', 'TaintedTitle', 'Bangbang', 'Algorithm']","['JFDL', 'Stros_B4_Hoes_', 'EWOKinLA']",waterfield7LA,False,False,0,1,0,0
1235415798451023873,Thu Mar 05 04:04:13 +0000 2020,waterfield7LA,@JFDL @Stros_B4_Hoes_ @EWOKinLA You don’t know me. Your trash fanbase is weak. Didn’t support your team in down yea… https://t.co/ds5JET7QT0,[],"['JFDL', 'Stros_B4_Hoes_', 'EWOKinLA']",JFDL,False,False,0,1,0,0
